광역단체,기초단체,영화상영관코드,영화상영관명,총 스크린수,총 좌석수,필름 상영관수,2D 상영관수,3D 상영관수,4D 상영관수,IMAX 상영관수,상설여부,특별관운영여부,가입여부,전송사업자명,개관일,영업상태,운영형태,주소,전화번호,홈페이지
서울시,중구,1163,CGV 명동역 씨네라이브러리,5,694,2,5,2,0,0,상설,,가입,CJ올리브네트웍스(주),2010-08-19,영업,직영,서울특별시 중구 충무로2가 65-9 번지 하이해리엇 10층,1544-1122,http://www.cgv.co.kr
서울시,노원구,1109,롯데시네마 노원,10,1868,0,10,9,1,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2005-11-23,영업,직영,서울특별시 노원구 상계동 713 번지 롯데백화점 10층,1544-8855,http://www.lottecinema.co.kr/
경기도,남양주시,2122,메가박스 남양주,8,1149,0,8,3,0,0,상설,,가입,메가박스(주),2006-07-13,영업,위탁,"경기도 남양주시 호평동 640 번지 메인시네마타워 8,9층",1544-0070,http://www.megabox.co.kr/
충청남도,논산시,5065,메가박스 논산,5,452,0,5,1,0,0,상설,,가입,메가박스(주),2020-09-10,영업,위탁,"충청남도 논산시 내동 382-32 번지 우리메가박스타운 3,4층",02-1544-0070,http://www.megabox.co.kr/
서울시,강남구,1111,CGV 압구정,6,898,3,6,4,0,0,상설,,가입,CJ올리브네트웍스(주),2006-03-30,영업,직영,서울특별시 강남구 신사동 602 번지,1544-1122,http://www.cgv.co.kr
경기도,성남시,2010,CGV 오리,10,1570,1,10,5,0,0,상설,,가입,CJ올리브네트웍스(주),2000-04-01,영업,직영,경기도 성남시 분당구 구미동 159 번지 월드쇼핑 4층,1544-1122,http://www.cgv.co.kr
세종시,연기군,17042,초이자동차극장,1,45,0,1,0,0,0,상설,,가입,문화인,2021-12-15,영업,직영,세종특별자치시 장군면 대교리 514-10 번지 초이자동차극장,044-272-7933,http://choicinema.kr
충청남도,천안시,5053,인디플러스 천안,1,50,0,1,0,0,0,상설,,가입,(주)디트릭스,2016-11-18,영업,직영,충청남도 천안시 동남구 문화동 101-2 번지 천안시 영상미디어센터,041-415-0098,
제주도,제주시,10020,제주자동차극장,1,50,0,1,0,0,0,상설,,가입,문화인,,영업,직영,제주특별자치도 제주시 이호이동 257 번지,,driveinjeju.com
경기도,화성시,2185,CGV 동탄,8,1406,0,8,5,0,0,상설,,가입,CJ올리브네트웍스(주),2010-12-23,영업,직영,경기도 화성시 반송동 96 번지 메타폴리스 A블럭 3층,1544-1122,http://www.cgv.co.kr
경기도,용인시,2241,한국민속촌 자동차극장,2,230,0,2,0,0,0,상설,,가입,(주)디트릭스,2018-02-08,영업,직영,경기도 용인시 기흥구 보라동 308 번지 한국민속촌 자동차극장,031-288-0000,https://www.koreanfolk.co.kr
서울시,구로구,1017,CGV 구로,8,1232,1,10,6,0,0,상설,,가입,CJ올리브네트웍스(주),2002-01-25,영업,직영,서울특별시 구로구 구로동 573 번지 NC신구로점 6층,1544-1122,http://www.cgv.co.kr
